"","Results.reception.time","MD5.hash.of.participant.s.IP.address","Controller.name","Order.number.of.item","Inner.element.number","Label","Latin.Square.Group","PennElementType","PennElementName","Parameter","Value","EventTime","hand","gender","age","native","lang","id.Ibex","id","Item","Condition","Target","NPTime","audiodur","EarlyStartMessage","TooSlowMessage","Comments"
"1",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",3,0,"consent","NULL","PennController","1","_Trial_","Start",1662561926829,"undefined","undefined","undefined","undefined","undefined","undefined","NULL",NA,"",NA,NA,NA,"","",""
"2",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",3,0,"consent","NULL","PennController","1","_Header_","Start",1662561926829,"undefined","undefined","undefined","undefined","undefined","undefined","NULL",NA,"",NA,NA,NA,"","",""
"3",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",3,0,"consent","NULL","PennController","1","_Header_","End",1662561926830,"undefined","undefined","undefined","undefined","undefined","undefined","NULL",NA,"",NA,NA,NA,"","",""
"4",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",3,0,"consent","NULL","PennController","1","_Trial_","End",1662561933790,"undefined","undefined","undefined","undefined","undefined","undefined","NULL",NA,"",NA,NA,NA,"","",""
"5",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",4,0,"participants","NULL","PennController","2","_Trial_","Start",1662561933794,"right","female","25","Tagalog","undefined","dave@hot.com","NULL",NA,"",NA,NA,NA,"","",""
"6",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",4,0,"participants","NULL","PennController","2","_Header_","Start",1662561933794,"right","female","25","Tagalog","undefined","dave@hot.com","NULL",NA,"",NA,NA,NA,"","",""
"7",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",4,0,"participants","NULL","PennController","2","_Header_","End",1662561933795,"right","female","25","Tagalog","undefined","dave@hot.com","NULL",NA,"",NA,NA,NA,"","",""
"8",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",4,0,"participants","NULL","TextInput","input_ID","EnterReturn","dave@hot.com",1662561947065,"right","female","25","Tagalog","undefined","dave@hot.com","NULL",NA,"",NA,NA,NA,"","",""
"9",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",4,0,"participants","NULL","TextInput","input_ID","Final","dave@hot.com",1662561981192,"right","female","25","Tagalog","undefined","dave@hot.com","NULL",NA,"",NA,NA,NA,"","",""
"10",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",4,0,"participants","NULL","TextInput","input_ID","First","",1662561940589,"right","female","25","Tagalog","undefined","dave@hot.com","d",NA,"",NA,NA,NA,"","",""
"11",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",4,0,"participants","NULL","TextInput","input_native","EnterReturn","Tagalog",1662561968661,"right","female","25","Tagalog","undefined","dave@hot.com","NULL",NA,"",NA,NA,NA,"","",""
"12",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",4,0,"participants","NULL","TextInput","input_native","Final","Tagalog",1662561981192,"right","female","25","Tagalog","undefined","dave@hot.com","NULL",NA,"",NA,NA,NA,"","",""
"13",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",4,0,"participants","NULL","TextInput","input_native","First","",1662561962062,"right","female","25","Tagalog","undefined","dave@hot.com","CapsLock",NA,"",NA,NA,NA,"","",""
"14",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",4,0,"participants","NULL","TextInput","input_age","EnterReturn","25",1662561974783,"right","female","25","Tagalog","undefined","dave@hot.com","NULL",NA,"",NA,NA,NA,"","",""
"15",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",4,0,"participants","NULL","TextInput","input_age","Final","25",1662561981192,"right","female","25","Tagalog","undefined","dave@hot.com","NULL",NA,"",NA,NA,NA,"","",""
"16",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",4,0,"participants","NULL","TextInput","input_age","First","",1662561973489,"right","female","25","Tagalog","undefined","dave@hot.com","2",NA,"",NA,NA,NA,"","",""
"17",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",4,0,"participants","NULL","Scale","input_lang","Choice","yes",1662561956597,"right","female","25","Tagalog","undefined","dave@hot.com","NULL",NA,"",NA,NA,NA,"","",""
"18",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",4,0,"participants","NULL","Scale","input_gender","Choice","female",1662561975822,"right","female","25","Tagalog","undefined","dave@hot.com","NULL",NA,"",NA,NA,NA,"","",""
"19",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",4,0,"participants","NULL","Scale","input_hand","Choice","right",1662561979380,"right","female","25","Tagalog","undefined","dave@hot.com","NULL",NA,"",NA,NA,NA,"","",""
"20",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",4,0,"participants","NULL","PennController","2","_Trial_","End",1662561981195,"right","female","25","Tagalog","undefined","dave@hot.com","NULL",NA,"",NA,NA,NA,"","",""
"21",1662562112,"24ae8b75adc31d600dd6744475ea87bf","PennController",5,0,"intro","NULL","PennController","3","_Trial_","Start",1662561981199,"right","female","25","Tagalog","undefined","dave@hot.com","NULL",NA,"",NA,NA,NA,"","",""
